OPENAV BOM,"Note: for all suppliers AliExpress is preferred to decrease shipping price, final SUM_PRICE includes minimum quantity of all parts",,,,,,,
,,,,,,,,
PART,TYPE,DEALER,PRICE,LINK,DATASHEET,NOTES,SUM_PRICE,
Lumberg 2486 01,USB connector,AliExpress,1.27 10u,Micro USB 2P 5P Jack Charging Port Plug Dock Charger DIP SMD For Phone Tabletels Speakers etc Port Socket Power Connector - AliExpress 13,Datasheet for 2486 01 Lumberg USB Connectors | Octopart,micro-04,1.27,
ESP32-S3-MINI-1-N8,Main chip,Mouser,3.1 1u,ESP32-S3-MINI-1U-N8 Espressif Systems | Mouser,mouser.com/datasheet/2/891/esp32_s3_mini_1_mini_1u_datasheet_en-2997643.pdf,,3.1,
SIMCOM SIM800C,SIM module,AliExpress,1.9 1u,SIM800C SIM800 Four frequency package Voice SMS data transfer module new original - AliExpress 502,Datasheet for SIM800C Simcom | Octopart,sketchy,1.9,
SX1278,LoRa Transciever,AliExpress,3.26 1u,Ra-01 LoRa SX1278 433M Wireless Spread Spectrum Transmission Module Most Distant 10KM - AliExpress 502,SX1276-7-8.book,,3.26,
MPU6050,Accelerometer,AliExpress,0.71 1u,5pcs/lot MPU-6050 MPU6050 MPU-6052C MPU6052C MPU-9150 MPU9150 MPU-9250 MPU9250 MP92 QFN - AliExpress 502,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/mpu-6000-datasheet1.pdf?ref_disty=mouser,obsolete on mouser,0.71,
FXMA108BQX,8 bit digi/analog switcher,Mouser,0.82 1u,FXMA108BQX onsemi / Fairchild | Mouser,"FXMA108 - Dual-Supply, 8-Bit Signal Translator with Configurable Voltage Supplies and Signals Levels, 3-State Outputs and Auto Direction Sensing",,0.82,
CH340N,USB to serial,AliExpress,2.28 5u,5PCS USB To Serial Chip CH340N SOP-8 Built-in Crystal Oscillator - AliExpress 502,Microsoft Word - CH340.doc,,2.28,
UFL Molex,Antenna connector,AliExpress,1.1 20u,10/20/30PCS High Quality UFL Seat IPEX / IPX Connector U.FL-R-SMT RF Coaxial Connectors Antenna 20279-001E - AliExpress 13,,,1.1,
AMS1117-3v3,Voltage regulator,AliExpress,1.08 20u,50PCS AMS1117 3V3 AMS117-3.3 AMS1117 5.0 AMS1117-5.0 SOT223 Voltage Rugulator - AliExpress,Microsoft Word - DS1117,,1.08,
AMS1117-ADJ,Voltage regulator,AliExpress,1.03 20u,50pcs AMS1117 3V3 AMS1117-1.2 AMS1117-1.5 AMS1117-1.8 AMS1117-2.5 AMS1117-3.3 AMS1117-5.0 AMS1117-ADJ SOT223 Voltage Rugulator - AliExpress,Microsoft Word - DS1117,,1.03,
XT30-UPB,Power connector,AliExpress,1.65 1u,Original Amass XT30UPB XT30 UPB 2mm Plug Male Female Bullet Connectors Plugs for RC Lipo Battery - AliExpress 26,n/a,,1.65,
JAE MicroSIM,microSIM,Ali/Mouser,7.71 10u/1.22 1u,10PCS SF53S006VCBR2000 SF72S006VBDR2500 Connectors - AliExpress 502,n/a,SF53S006VCBR2000 JAE Electronics | Mouser,1.22,
,,,,,,,19.42,
Resistor,Resistors,Any (AliExpress),,,,"1k, 2k and 4k resistors needed",,NOTE: resistors and caps are all size 0603 metric
Capacitor,Capacitor,Any (AliExpress),,,,"6x 100nF, 2x 300uF, 1x 2.2nF, 1x 22uF",,
